text,priority,description,category
Organize files,Low,Gym session for strength training,Health
Organize files,High,Go for a run in the park,Health
Organize files,Low,Schedule dentist appointment,Health
Doctor appointment,Medium,Send project status update to stakeholders,Work
Update website,Low,Go for a run in the park,Health
Fix the sink,High,Doctor appointment for annual checkup,Health
Schedule team meeting,Medium,Call family to check in,Personal
Schedule team meeting,High,Meditation and relaxation session,Health
Doctor appointment,Medium,Buy groceries for the week,Personal
Fix the sink,Low,Go for a run in the park,Health
Buy groceries,Medium,Prepare presentation slides for the meeting,Work
Workout session,Medium,Buy groceries for the week,Personal
Schedule team meeting,High,Meditation and relaxation session,Health
Clean the house,Low,Schedule dentist appointment,Health
Review pull requests,Medium,Schedule a dinner with friends,Personal
Organize files,Medium,Gym session for strength training,Health
Call family,Medium,Complete end-of-quarter financial report,Work
Update website,Medium,Organize the home office,Personal
Plan vacation,High,Meditation and relaxation session,Health
Study for exam,Medium,Buy groceries for the week,Personal
Study for exam,Medium,Buy groceries for the week,Personal
Study for exam,Medium,Schedule a dinner with friends,Personal
Finish project report,High,Complete end-of-quarter financial report,Work
Client follow-up,Low,Doctor appointment for annual checkup,Health
Call family,Medium,Organize the home office,Personal
Clean the house,Medium,Call family to check in,Personal
Doctor appointment,High,Send project status update to stakeholders,Work
Plan vacation,Medium,Schedule a dinner with friends,Personal
Study for exam,High,Meditation and relaxation session,Health
Update website,Medium,Plan a weekend getaway,Personal
Call family,Medium,Call family to check in,Personal
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Organize files,Low,Doctor appointment for annual checkup,Health
Fix the sink,Medium,Buy groceries for the week,Personal
Review pull requests,Low,Schedule dentist appointment,Health
Clean the house,Medium,Schedule a dinner with friends,Personal
Buy groceries,Medium,Call family to check in,Personal
Buy groceries,High,Schedule dentist appointment,Health
Fix the sink,High,Prepare presentation slides for the meeting,Work
Client follow-up,Low,Doctor appointment for annual checkup,Health
Study for exam,Medium,Plan a weekend getaway,Personal
Fix the sink,High,Conduct performance reviews,Work
Buy groceries,Medium,Gym session for strength training,Health
Update website,Medium,Go for a run in the park,Health
Schedule team meeting,High,Fix critical bugs in the system,Work
Workout session,Medium,Call family to check in,Personal
Doctor appointment,Low,Meditation and relaxation session,Health
Doctor appointment,High,Complete end-of-quarter financial report,Work
Clean the house,Medium,Conduct performance reviews,Work
Plan vacation,Medium,Organize the home office,Personal
Workout session,High,Meditation and relaxation session,Health
Workout session,High,Send project status update to stakeholders,Work
Call family,Medium,Plan a weekend getaway,Personal
Finish project report,Medium,Complete end-of-quarter financial report,Work
Fix the sink,Medium,Buy groceries for the week,Personal
Fix the sink,Medium,Gym session for strength training,Health
Client follow-up,High,Gym session for strength training,Health
Plan vacation,Medium,Complete end-of-quarter financial report,Work
Study for exam,Medium,Send project status update to stakeholders,Work
Organize files,Medium,Gym session for strength training,Health
Doctor appointment,Medium,Complete end-of-quarter financial report,Work
Workout session,Medium,Plan a weekend getaway,Personal
Review pull requests,Medium,Complete end-of-quarter financial report,Work
Client follow-up,High,Fix critical bugs in the system,Work
Schedule team meeting,Low,Go for a run in the park,Health
Organize files,High,Send project status update to stakeholders,Work
Update website,High,Prepare presentation slides for the meeting,Work
Fix the sink,Medium,Fix critical bugs in the system,Work
Schedule team meeting,Medium,Doctor appointment for annual checkup,Health
Update website,High,Conduct performance reviews,Work
Client follow-up,Medium,Conduct performance reviews,Work
Organize files,High,Go for a run in the park,Health
Finish project report,Medium,Complete end-of-quarter financial report,Work
Buy groceries,Medium,Meditation and relaxation session,Health
Client follow-up,Medium,Plan a weekend getaway,Personal
Workout session,Medium,Organize the home office,Personal
Organize files,High,Send project status update to stakeholders,Work
Schedule team meeting,Medium,Buy groceries for the week,Personal
Plan vacation,High,Complete end-of-quarter financial report,Work
Buy groceries,Medium,Call family to check in,Personal
Clean the house,Medium,Send project status update to stakeholders,Work
Study for exam,Medium,Buy groceries for the week,Personal
Workout session,Medium,Organize the home office,Personal
Buy groceries,Medium,Gym session for strength training,Health
Organize files,Low,Go for a run in the park,Health
Client follow-up,High,Go for a run in the park,Health
Finish project report,High,Gym session for strength training,Health
Doctor appointment,Medium,Schedule a dinner with friends,Personal
Schedule team meeting,Low,Meditation and relaxation session,Health
Review pull requests,Medium,Complete end-of-quarter financial report,Work
Plan vacation,High,Complete end-of-quarter financial report,Work
Call family,Medium,Schedule a dinner with friends,Personal
Clean the house,Medium,Complete end-of-quarter financial report,Work
Finish project report,Medium,Schedule dentist appointment,Health
Doctor appointment,High,Send project status update to stakeholders,Work
Buy groceries,Medium,Schedule a dinner with friends,Personal
Organize files,Medium,Plan a weekend getaway,Personal
Plan vacation,Medium,Call family to check in,Personal
Workout session,Medium,Prepare presentation slides for the meeting,Work
Client follow-up,High,Go for a run in the park,Health
Workout session,High,Send project status update to stakeholders,Work
Organize files,High,Schedule dentist appointment,Health
Update website,Medium,Conduct performance reviews,Work
Update website,Medium,Complete end-of-quarter financial report,Work
Clean the house,Medium,Schedule a dinner with friends,Personal
Organize files,High,Conduct performance reviews,Work
Review pull requests,Medium,Schedule dentist appointment,Health
Doctor appointment,High,Go for a run in the park,Health
Workout session,Low,Go for a run in the park,Health
Organize files,Medium,Buy groceries for the week,Personal
Study for exam,Low,Schedule dentist appointment,Health
Client follow-up,Medium,Go for a run in the park,Health
Workout session,High,Conduct performance reviews,Work
Organize files,High,Conduct performance reviews,Work
Buy groceries,High,Meditation and relaxation session,Health
Buy groceries,Medium,Schedule a dinner with friends,Personal
Call family,Medium,Complete end-of-quarter financial report,Work
Plan vacation,Medium,Call family to check in,Personal
Review pull requests,Medium,Doctor appointment for annual checkup,Health
Update website,High,Conduct performance reviews,Work
Call family,Low,Go for a run in the park,Health
Review pull requests,Medium,Call family to check in,Personal
Schedule team meeting,Medium,Organize the home office,Personal
Doctor appointment,Medium,Buy groceries for the week,Personal
Schedule team meeting,Medium,Fix critical bugs in the system,Work
Buy groceries,Medium,Call family to check in,Personal
Organize files,Medium,Schedule a dinner with friends,Personal
Client follow-up,Medium,Organize the home office,Personal
Write blog post,Medium,Conduct performance reviews,Work
Organize files,Medium,Buy groceries for the week,Personal
Study for exam,Medium,Conduct performance reviews,Work
Workout session,Medium,Buy groceries for the week,Personal
Update website,Low,Gym session for strength training,Health
Schedule team meeting,Medium,Complete end-of-quarter financial report,Work
Finish project report,Low,Doctor appointment for annual checkup,Health
Buy groceries,High,Meditation and relaxation session,Health
Study for exam,Medium,Call family to check in,Personal
Workout session,Medium,Schedule a dinner with friends,Personal
Call family,Low,Go for a run in the park,Health
Call family,Medium,Conduct performance reviews,Work
Call family,Low,Meditation and relaxation session,Health
Call family,Low,Doctor appointment for annual checkup,Health
Plan vacation,High,Send project status update to stakeholders,Work
Clean the house,Medium,Complete end-of-quarter financial report,Work
Schedule team meeting,Medium,Prepare presentation slides for the meeting,Work
Finish project report,Low,Doctor appointment for annual checkup,Health
Write blog post,Medium,Call family to check in,Personal
Workout session,Low,Meditation and relaxation session,Health
Update website,High,Meditation and relaxation session,Health
Organize files,High,Doctor appointment for annual checkup,Health
